comuna,entrada_electores,entrada_apruebo,entrada_rechazo,entrada_blancos,entrada_nulos,salida_electores,salida_apruebo,salida_rechazo,salida_blancos,salida_nulos,crec_apruebo,crec_rechazo,crec_nulos,crec_blancos,aumento_votantes,aumento_votantes_p,entrada_votos,entrada_abs,entrada_p_vot,salida_votos,salida_abs,salida_p_vot,crec_prob_voto,entrada_prob_apruebo,salida_prob_apruebo,entrada_prob_nulo,salida_prob_nulo,entrada_prob_blanco,salida_prob_blanco,entrada_prob_rechazo,salida_prob_rechazo,crec_prob_apruebo,crec_prob_rechazo,crec_prob_nulo,crec_prob_blanco,entrada_prob_votar,salida_prob_votar,crec_padron,crec_padron_porc
CHILE CHICO,3680.0,821,153,4,2,6446.0,1448,1948,31,47,627,1795,45,27,2766.0,1.7516304347826086,980,2700.0,0.266304347826087,3474,2972.0,0.5389388768228359,0.27263452899674895,0.22309782608695652,0.2246354328265591,0.0005434782608695652,0.007291343468817871,0.0010869565217391304,0.004809183990071362,0.04157608695652174,0.3022029165373875,0.0015376067396025705,0.26062682958086575,0.006747865207948306,0.004265705729201797,0.266304347826087,0.5389388768228358,2766.0,75.16304347826087
CHILLAN,152421.0,54229,21088,123,278,155891.0,42861,92845,702,1785,-11368,71757,1507,579,3470.0,1.022765891839051,75718,76703.0,0.4967688179450338,138193,17698.0,0.8864719579706333,0.38970314002559947,0.3557843079365704,0.27494210698500876,0.0018238956574225336,0.011450308228185078,0.0008069754167732792,0.004503146429235812,0.13835363893426758,0.5955763963282037,-0.08084220095156164,0.45722275739393614,0.009626412570762544,0.0026792507718132784,0.4967688179450338,0.8864719579706333,3470.0,2.276589183905105
CHILLAN VIEJO,21378.0,7947,3085,18,33,23173.0,6182,15036,105,294,-1765,11951,261,87,1795.0,1.0839648236504817,11083,10295.0,0.5184301618486294,21617,1556.0,0.9328528891382212,0.41442272728959173,0.3717373000280662,0.26677598929788976,0.0015436429974740387,0.01268717904457774,0.0008419870895312938,0.004531135373063479,0.14430723173355786,0.6488585854226901,-0.10496131073017645,0.5045513536891323,0.011143536047103702,0.00298749237558944,0.5184301618486293,0.9328528891382211,1795.0,8.39648236504818
CHIMBARONGO,30271.0,11218,2498,22,64,30987.0,7853,20253,193,412,-3365,17755,348,171,716.0,1.023653001222292,13802,16469.0,0.45594793696937663,28711,2276.0,0.9265498434827508,0.4706019065133742,0.3705857090945129,0.2534288572627231,0.0021142347461266557,0.01329589827992384,0.000726768193981038,0.006228418368993449,0.08252122493475604,0.6535966695711105,-0.11715685183178981,0.5710754446363545,0.011181663533797185,0.004114183622866793,0.45594793696937663,0.9265498434827509,716.0,2.365300122229196
CHOLCHOL,10384.0,2951,1197,19,51,11348.0,2479,6990,66,184,-472,5793,133,47,964.0,1.0928351309707243,4218,6166.0,0.4062018489984592,9719,1629.0,0.8564504758547762,0.450248626856317,0.28418721109399075,0.21845259076489248,0.004911402157164869,0.016214310891787098,0.0018297380585516178,0.005816002819880155,0.11527349768875192,0.6159675713782164,-0.06573462032909827,0.5006940736894645,0.011302908734622228,0.0009046006627152856,0.4062018489984591,0.8564504758547762,964.0,9.28351309707242
CHONCHI,9225.0,2400,416,10,11,13663.0,3663,7449,89,122,1263,7033,111,79,4438.0,1.4810840108401084,2837,6388.0,0.30753387533875337,11323,2340.0,0.8287345385347288,0.5212006631959754,0.2601626016260163,0.2680963185244822,0.0011924119241192412,0.008929224914001317,0.001084010840108401,0.006513942765132109,0.045094850948509485,0.5451950523311132,0.007933716898465892,0.5001002013826037,0.007736812989882076,0.0053215308410128675,0.30753387533875337,0.8287345385347287,4438.0,48.108401084010836
CISNES,2651.0,633,251,5,2,4649.0,1113,2413,39,34,480,2162,32,34,1998.0,1.7536778574122973,891,1760.0,0.3360995850622407,3599,1050.0,0.7741449774144977,0.43804539235225703,0.23877781969068276,0.23940632394063238,0.0007544322897019992,0.007313400731340073,0.001886080724254998,0.008388900838890084,0.0946812523576009,0.5190363519036352,0.0006285042499496185,0.4243550995460343,0.006558968441638073,0.007634468549188084,0.3360995850622407,0.7741449774144977,1998.0,75.36778574122972
COBQUECURA,5643.0,1595,459,11,10,5775.0,1219,3776,28,65,-376,3317,55,17,132.0,1.023391812865497,2075,3568.0,0.367712209817473,5088,687.0,0.8810389610389611,0.5133267512214881,0.2826510721247563,0.2110822510822511,0.00177210703526493,0.011255411255411256,0.001949317738791423,0.0048484848484848485,0.08133971291866028,0.6538528138528139,-0.07156882104250523,0.5725131009341536,0.009483304220146326,0.0030763778132199184,0.36771220981747293,0.8810389610389612,132.0,2.3391812865497075
COCHAMO,3247.0,508,286,12,6,4650.0,792,2666,42,43,284,2380,37,30,1403.0,1.4320911610717586,812,2435.0,0.2500769941484447,3543,1107.0,0.7619354838709678,0.5118584897225231,0.15645210963966738,0.1703225806451613,0.0018478595626732369,0.009247311827956989,0.0036957191253464737,0.00903225806451613,0.08808130582075763,0.5733333333333334,0.013870471005493906,0.48525202751257573,0.007399452265283752,0.0071843985018428935,0.25007699414844475,0.7619354838709678,1403.0,43.20911610717585
COCHRANE,1939.0,540,159,1,2,3326.0,841,1398,23,52,301,1239,50,22,1387.0,1.7153171738009283,702,1237.0,0.36204228984012377,2314,1012.0,0.6957306073361396,0.3336883174960158,0.2784940691077875,0.2528562838244137,0.0010314595152140279,0.015634395670475046,0.0005157297576070139,0.006915213469633193,0.08200103145951522,0.42032471437161756,-0.025637785283373793,0.33832368291210235,0.014602936155261018,0.0058837539544191655,0.36204228984012377,0.6957306073361396,1387.0,71.53171738009283
CODEGUA,11297.0,5034,871,6,21,11746.0,3584,7122,82,185,-1450,6251,164,76,449.0,1.0397450650615208,5932,5365.0,0.5250951580065504,10973,773.0,0.9341903626766559,0.4090952046701055,0.4456050278835089,0.30512514898688914,0.0018589005930778084,0.015750042567682615,0.0005311144551650881,0.0069810999489187805,0.07710011507479862,0.6063340711731653,-0.14047987889661978,0.5292339560983667,0.013891141974604806,0.005122199355840972,0.5250951580065504,0.9341903626766559,449.0,3.9745065061520757
